Molecule name,class,dataset,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3
Row747,0,test,3.1745,33.4788,95.34060688,37.3,314.05,313.9800897,2,1,4,1,1,0,13,19,20,0,0,0,0,0,0,0,0,0,0,0.833333333
Row748,0,test,1.5346,94.5782,140.9007777,68.36,325.412,325.179027,5,3,3,3,3,1,5,24,47,4,2,0,2,1,0,1,1,0,1,0.421052632
Row749,0,test,2.0102,29.131,45.63994909,0,157.438,155.93414,0,0,2,0,0,0,2,5,11,0,0,0,0,0,0,0,0,0,0,1
Row750,0,test,1.589,52.8218,81.04505427,38.69,190.283,190.1568946,3,1,6,1,3,0,3,13,35,0,0,0,0,0,0,0,0,0,0,1
Row751,0,test,3.6126,86.5066,132.1107922,40.46,296.41,296.17763,2,2,0,2,2,0,2,22,46,4,1,2,3,0,0,0,1,2,3,0.6
Row752,0,test,-1.3829,29.1059,51.12164119,92.42,130.103,130.0378421,5,4,2,3,3,1,5,9,15,0,0,0,0,0,0,0,0,0,0,0
Row753,0,test,1.0026,54.23,84.07762049,7.76,186.258,186.1146013,2,0,1,0,0,0,2,14,28,2,2,0,0,2,0,0,0,0,0,0.166666667
Row754,0,test,0.69598,15.81,25.17211191,23.79,53.064,53.0265491,1,0,0,0,1,0,1,4,7,0,0,0,0,0,0,0,0,0,0,0
Row755,0,test,2.3296,36.533,49.47168432,0,104.152,104.0626003,0,0,1,0,0,0,0,8,16,1,1,0,0,0,0,0,1,0,0,0
Row756,1,test,-0.2703,69.813,103.4204978,66,249.27,249.1113413,6,0,6,0,6,0,6,18,33,1,1,0,0,1,0,0,0,0,0,0.25
Row757,0,test,4.4249,73.216,119.1991347,0,513.087,507.6074884,0,0,0,0,0,0,6,12,18,1,0,1,1,0,0,0,0,1,1,1
Row758,0,test,3.6966,60.4006,109.285864,74.6,303.912,301.8707193,4,2,2,2,2,0,8,16,18,1,1,0,0,0,0,0,1,0,0,0
Row759,0,test,-0.9938,25.8628,47.86281089,104.68,130.063,130.0126899,7,2,1,2,4,0,7,9,11,1,1,0,0,1,0,0,0,0,0,0
Row760,0,test,7.9934,132.087,196.0102643,52.6,446.672,446.33961,4,0,18,0,4,0,4,32,78,1,1,0,0,0,0,0,1,0,0,0.714285714
Row761,0,test,5.17662,89.675,126.6404179,0,272.391,272.1565006,0,0,4,0,0,0,0,21,41,3,3,0,0,0,0,0,3,0,0,0.142857143
Row762,0,test,2.3922,44.9434,61.86612016,26.02,135.21,135.1047994,1,2,1,1,1,0,1,10,23,1,1,0,0,0,0,0,1,0,0,0.333333333
Row763,0,test,6.2259,78.2994,129.1065838,38.43,336.005,333.9234235,3,0,2,0,2,0,7,19,25,2,2,0,0,0,0,0,2,0,0,0
Row764,0,test,-0.9368,27.6834,44.16219685,65.72,112.088,112.0272774,4,2,0,2,2,0,4,8,12,1,1,0,0,1,0,0,0,0,0,0
Row765,0,test,1.45489,32.4505,51.96807509,25.16,127.168,127.0091848,2,1,0,1,3,0,3,8,13,1,1,0,0,1,0,0,0,0,0,0
Row766,0,test,3.993,61.454,82.79473218,0,178.234,178.0782503,0,0,0,0,0,0,0,14,24,3,3,0,0,0,0,0,3,0,0,0
Row767,0,test,3.8746,64.281,90.68638134,9.23,200.281,200.1201151,1,0,3,0,1,0,1,15,31,2,2,0,0,0,0,0,2,0,0,0.285714286
Row768,0,test,1.988,76.244,122.1076695,131.36,302.238,302.0426527,7,5,1,5,7,0,7,22,32,3,3,0,0,1,0,0,2,0,0,0
Row769,1,test,-2.605,35.9752,68.96215591,99.38,180.156,180.0633881,6,4,2,4,6,0,6,12,24,1,0,1,1,0,1,1,0,0,0,1
Row770,0,test,3.8257,63.609,92.89753907,24.72,206.333,206.1782987,2,0,2,0,2,0,2,15,37,2,0,2,2,0,0,0,0,2,2,0.923076923
Row771,0,test,3.2414,56.8817,82.29181416,12.03,181.323,181.1830497,1,1,2,1,1,0,1,13,36,2,0,2,2,0,0,0,0,2,2,1
Row772,0,test,2.5654,43.084,61.88534042,0,132.206,132.0939004,0,0,0,0,0,0,0,10,22,2,1,0,1,0,0,0,1,0,1,0.4
Row773,0,test,3.3668,43.916,64.01206775,0,138.254,138.1408506,0,0,0,0,0,0,0,10,28,2,0,2,2,0,0,0,0,2,2,1
